round_num	role	Total Train Time	Total Test Time	chat	experimentName	iterationName	gameid	logTime	eventType
eTimes
0	explorer	11.73	3.245	42.84	mp-game-6	pilot	6851-e0214803-8b35-4472-af75-e1a212a60d40	1564006463696	logSimpleTimes
1	explorer	27.997	2.823	30.893	mp-game-6	pilot	6851-e0214803-8b35-4472-af75-e1a212a60d40	1564006594324	logSimpleTimes
