experimentName	iterationName	gameid	time	role	round_num	-1	46.953	0.581	eventType
mp-game-6	pilot	4348-be77814b-8597-45e6-b757-d70ebbf36669	1563827015234	student	0	-1	46&953	0&581	logTimes
mp-game-6	pilot	4348-be77814b-8597-45e6-b757-d70ebbf36669	1563827138461	explorer	0	6&742	23&352	4&783	logTimes
