experimentName	iterationName	gameid	time	role	round_num	train	test	chat	eventType
mp-game-6	pilot	1018-ec06e865-cb06-400e-890a-de2a5f852f9b	1563815209185	student	0	-1	302.205	0.58	logTimes
mp-game-6	pilot	1018-ec06e865-cb06-400e-890a-de2a5f852f9b	1563815258389	explorer	0	59.43	45.305	21.564	logTimes
