experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	5744-0af798cd-4b28-4774-affa-fd98a3d4507f	1562103723176	explorer	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	0	29.687	34.862	3.444	logTimes
mp-game-6	pilot	5744-0af798cd-4b28-4774-affa-fd98a3d4507f	1562103726651	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	0	-1	39.796	0.639	logTimes
