experimentName	iterationName	gameid	time	role	round_num	Total Train Time	Total Test Time	chat	beaker:100	beaker:101	beaker:110	beaker:111	beaker:001	beaker:010	beaker:011	reaction:100	reaction:101	reaction:000	reaction:010	reaction:0xx	reaction:1xx	reaction:x1x	reaction:xx1	reaction:x00	reaction:x10	reaction:0x0	reaction:1x0	test000	test001	test010	test011	test100	test101	test110	eventType
mp-game-6	pilot	3495-1f5f1195-1a29-495c-8c55-0d1969acb036	1563986814828	student	0	-1	3.216	1.362	1.286	0.498	0.082	0.083	0.081	0.082	0.082	0.078	0.083	0.081	0.081	0.082	0.082	0.081	0.081	0.081	0.081	0.081	0.082	-1	-1	-1	-1	-1	-1	-1	logTimes
mp-game-6	pilot	3495-1f5f1195-1a29-495c-8c55-0d1969acb036	1563986819374	explorer	0	1.472	2.778	4.642	0.851	0.502	0.082	0.082	0.082	0.082	0.083	0.084	0.074	0.082	0.082	0.082	0.081	0.081	0.082	0.081	0.081	0.08	0.081	-1	-1	-1	-1	-1	-1	-1	logTimes
