experimentName	iterationName	gameid	time	role	round_num	Total Train Time	Total Test Time	chat	beaker:100	beaker:101	beaker:110	beaker:111	beaker:001	beaker:010	beaker:011	reaction:101	reaction:111	reaction:000	reaction:010	reaction:1xx	reaction:x1x	reaction:xx0	reaction:xx1	reaction:0x0	reaction:1x0	reaction:01x	reaction:11x	eventType
mp-game-6	pilot	4747-4a399929-06bb-4ca6-9074-37ccf696fd5a	1563987190056	student	0	-1	3.843	1.327	1.008	0.435	0.101	0.276	0.262	0.247	0.499	0.081	0.084	0.081	0.082	0.082	0.081	0.082	0.081	0.082	0.082	0.082	0.081	logTimes
mp-game-6	pilot	4747-4a399929-06bb-4ca6-9074-37ccf696fd5a	1563987194657	explorer	0	-1	2.463	4.282	0.537	0.498	0.081	0.084	0.083	0.083	0.082	0.081	0.079	0.082	0.084	0.083	0.081	0.083	0.082	0.081	0.082	0.081	0.082	logTimes
