experimentName	iterationName	gameid	time	role	round_num	train	test	chat	eventType
mp-game-6	pilot	5254-78abfd20-e995-4954-93ac-53ab1cccd8eb	1563900679249	student	0	-1	4.606	0.394	logTimes
mp-game-6	pilot	5254-78abfd20-e995-4954-93ac-53ab1cccd8eb	1563900685320	explorer	0	26.926	3.561	4.263	logTimes
mp-game-6	pilot	5254-78abfd20-e995-4954-93ac-53ab1cccd8eb	1563900730052	student	1	-1	3.377	0.357	logTimes
mp-game-6	pilot	5254-78abfd20-e995-4954-93ac-53ab1cccd8eb	1563900736461	explorer	1	24.406	3.953	2.855	logTimes
mp-game-6	pilot	5254-78abfd20-e995-4954-93ac-53ab1cccd8eb	1563900770538	student	2	-1	4.105	0.492	logTimes
mp-game-6	pilot	5254-78abfd20-e995-4954-93ac-53ab1cccd8eb	1563900775995	explorer	2	15.126	2.937	3.562	logTimes
