experimentName	iterationName	gameid	time	role	round_num	Total Train Time	Total Test Time	chat	beaker:100	beaker:101	beaker:110	beaker:111	beaker:001	beaker:010	beaker:011	reaction:101	reaction:111	reaction:001	reaction:011	reaction:0xx	reaction:1xx	reaction:x1x	reaction:xx1	reaction:10x	reaction:0x1	reaction:x00	reaction:x11	test000	test001	test010	test011	test100	test101	test110	eventType
mp-game-6	pilot	4758-3776796f-198e-4d79-8d7c-36fda841d1cb	1563987335840	student	0	-1	3.02	1.066	1.093	0.497	0.083	0.082	0.082	0.082	0.082	0.077	0.084	0.079	0.082	0.081	0.083	0.082	0.08	0.078	0.084	0.081	0.081	-1	-1	-1	-1	-1	-1	-1	logTimes
mp-game-6	pilot	4758-3776796f-198e-4d79-8d7c-36fda841d1cb	1563987339962	explorer	0	-1	2.6	4.38	0.672	0.501	0.082	0.082	0.082	0.081	0.082	0.078	0.084	0.082	0.081	0.081	0.08	0.081	0.082	0.081	0.082	0.081	0.081	-1	-1	-1	-1	-1	-1	-1	logTimes
