round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	0.72	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147851	logTimes
0	student	beakerquestion	101	0.219	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147864	logTimes
0	student	beakerquestion	110	0.494	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147866	logTimes
0	student	beakerquestion	111	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147868	logTimes
0	student	beakerquestion	001	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147870	logTimes
0	student	beakerquestion	010	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147871	logTimes
0	student	beakerquestion	011	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147872	logTimes
0	student	reactionquestion	101	0.08	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147874	logTimes
0	student	reactionquestion	110	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147876	logTimes
0	student	reactionquestion	000	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147877	logTimes
0	student	reactionquestion	001	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147879	logTimes
0	student	reactionquestion	1xx	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147881	logTimes
0	student	reactionquestion	x0x	0.084	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147883	logTimes
0	student	reactionquestion	x1x	0.08	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147884	logTimes
0	student	reactionquestion	xx1	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147886	logTimes
0	student	reactionquestion	x00	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147888	logTimes
0	student	reactionquestion	0x0	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147890	logTimes
0	student	reactionquestion	00x	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147891	logTimes
0	student	reactionquestion	10x	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992147893	logTimes
0	explorer	beakerquestion	100	1.058	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154880	logTimes
0	explorer	beakerquestion	101	1.615	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154884	logTimes
0	explorer	beakerquestion	110	0.5	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154885	logTimes
0	explorer	beakerquestion	111	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154886	logTimes
0	explorer	beakerquestion	001	0.084	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154887	logTimes
0	explorer	beakerquestion	010	0.081	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154892	logTimes
0	explorer	beakerquestion	011	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154894	logTimes
0	explorer	reactionquestion	101	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154896	logTimes
0	explorer	reactionquestion	110	0.08	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154898	logTimes
0	explorer	reactionquestion	000	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154899	logTimes
0	explorer	reactionquestion	001	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154901	logTimes
0	explorer	reactionquestion	1xx	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154902	logTimes
0	explorer	reactionquestion	x0x	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154903	logTimes
0	explorer	reactionquestion	x1x	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154906	logTimes
0	explorer	reactionquestion	xx1	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154908	logTimes
0	explorer	reactionquestion	x00	0.082	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154913	logTimes
0	explorer	reactionquestion	0x0	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154915	logTimes
0	explorer	reactionquestion	00x	0.081	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154916	logTimes
0	explorer	reactionquestion	10x	0.083	mp-game-6	pilot	5450-e7d0a0e1-dee0-4614-ade7-ff0264430306	1563992154917	logTimes
