experimentName	iterationName	gameid	time	role	round_num	train	test	chat	eventType
mp-game-6	pilot	6177-78273c15-c897-4aba-b2e3-37979ff7eb1a	1563294749108	student	0	-1	3.121	1.674	logTimes
mp-game-6	pilot	6177-78273c15-c897-4aba-b2e3-37979ff7eb1a	1563294754905	explorer	0	22.328	3.385	11.364	logTimes
mp-game-6	pilot	6177-78273c15-c897-4aba-b2e3-37979ff7eb1a	1563294880871	student	1	-1	3.544	87.186	logTimes
mp-game-6	pilot	6177-78273c15-c897-4aba-b2e3-37979ff7eb1a	1563294886270	explorer	1	18.163	2.789	87.493	logTimes
