experimentName	iterationName	gameid	time	role	round_num	Total Train Time	Total Test Time	chat	beaker:100	beaker:101	beaker:110	beaker:111	beaker:001	beaker:010	beaker:011	reaction:110	reaction:111	reaction:001	reaction:000	reaction:0xx	reaction:1xx	reaction:x1x	reaction:xx1	reaction:01x	reaction:10x	reaction:x00	reaction:0x1	test000	test001	test010	test011	test100	test101	test110	eventType
mp-game-6	pilot	5771-65260bbb-679a-41cf-9884-8dfe0e96a220	1563987421755	student	0	-1	2.714	1.309	0.786	0.499	0.081	0.082	0.083	0.082	0.082	0.084	0.077	0.082	0.079	0.081	0.081	0.081	0.082	0.08	0.08	0.081	0.082	-1	-1	-1	-1	-1	-1	-1	logTimes
mp-game-6	pilot	5771-65260bbb-679a-41cf-9884-8dfe0e96a220	1563987426649	explorer	0	8.203	2.669	4.011	0.741	0.497	0.079	0.084	0.083	0.081	0.084	0.08	0.081	0.082	0.081	0.082	0.081	0.079	0.083	0.084	0.081	0.082	0.081	-1	-1	-1	-1	-1	-1	-1	logTimes
