experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	humanPartner	likePartner	eventType
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681996500	explorer	0	"flowers with orange stems"	flowers_orange_stems	4	yes	2	yes	40	Male	2	nope	nop	2	idk	yes	okay	logSubjInfo
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561682012758	student	0	"flowers with orange stems"	flowers_orange_stems	4	yes	1	yes	24	Female	1	asdf	joij	2	df	no	okay	logSubjInfo
